,id_str,id,screen_name,domain,state
2730,58500736,58500736,KyDems,1,Kentucky
2731,52106506,52106506,CaryKennedy,1,Colorado
2732,1089334250,1089334250,RepAndyBarr,1,Kentucky
2733,17871144,17871144,KySecofState,1,Kentucky
2734,550401754,550401754,RepHalRogers,1,Kentucky
2735,90386169,90386169,KYGOP,1,Kentucky
2736,1908143071,1908143071,RepGuthrie,1,Kentucky
2737,145094331,145094331,SenatorCP,1,Vermont
2738,14304836,14304836,atticascott4ky,1,Kentucky
2739,1117720224,1117720224,KYSenateGOP,1,Kentucky
2740,234906311,234906311,RepEdWhitfield,1,Kentucky
2741,1069071726,1069071726,KYSenateDems,1,Kentucky
2742,4656309094,4656309094,LtGovHampton,1,Kentucky
2743,138564966,138564966,RylandKY,1,Kentucky
2744,1137590754,1137590754,kyhousedems,1,Kentucky
2745,16936014,16936014,damon_thayer,1,Kentucky
2746,132291920,132291920,RyanQuarlesKY,1,Kentucky
2747,114607567,114607567,brettguthrie,1,Kentucky
2748,2546518910,2546518910,HamptonforKy,1,Kentucky
2749,389242668,389242668,MorganMcGarvey,1,Kentucky
2750,485312964,485312964,KyWhitney,1,Kentucky
2751,1239543974,1239543974,ChuckMcGrady,1,North Carolina
2752,30150211,30150211,AGJackConway,1,Kentucky
2753,40327767,40327767,maxwellwise,1,Kentucky
2754,4564536147,4564536147,KYAgCommish,1,Kentucky
2755,115186195,115186195,barrforcongress,1,Kentucky
2756,409652472,409652472,kychrismcdaniel,1,Kentucky
2757,148778022,148778022,KyYoungDems,1,Kentucky
2758,464247020,464247020,SannieO,1,Kentucky
2759,445612517,445612517,SenatorJimmy,1,Kentucky
2760,709481136,709481136,AllisonJoyBall,1,Kentucky
2761,160285696,160285696,Alvarado4Senate,1,Kentucky
2762,1362715088,1362715088,JShellKY,1,Kentucky
2763,1967935447,1967935447,ReggieThomasKY,1,Kentucky
2764,1929178556,1929178556,WilSchroder,1,Kentucky
2765,1242400182,1242400182,BamCarney,1,Kentucky
2766,1099387555,1099387555,SenatorSchickel,1,Kentucky
2767,1599207313,1599207313,KYTreasurer,1,Kentucky
2768,1205541642,1205541642,repwestrom,1,Kentucky
2769,2365238424,2365238424,RepHarrisKy,1,Kentucky
2770,960932186,960932186,ProgressKy,1,Kentucky
2771,92629688,92629688,repkoenig,1,Kentucky
2772,18882624,18882624,kellyflood,1,Kentucky
2773,1385871103,1385871103,Kyrepmeredith,1,Kentucky
2774,58497389,58497389,aliceforgykerr,1,Kentucky
2775,39297510,39297510,KYREPROWLAND,1,Kentucky
2776,1367793234,1367793234,jmnemes,1,Kentucky
2777,1250004840,1250004840,DavidMeadeKY,1,Kentucky
2778,38445196,38445196,DennisKeene,1,Kentucky
2779,239561508,239561508,RepGeoffDavis,1,Kentucky
2780,1308950598,1308950598,RepJoniJenkins,1,Kentucky
2781,1082353730585022464,1082353730585022464,MayorGorton,1,Kentucky
2782,61176284,61176284,KimberlyKingGOP,1,Kentucky
2783,1966869721,1966869721,LIFTKentucky,1,Kentucky
2784,2327687905,2327687905,RepRussMeyer,1,Kentucky
2785,2222545540,2222545540,rick_rand,1,Kentucky
2786,974538008,974538008,AshliWatts,1,Kentucky
2787,1947243547,1947243547,reposborne,1,Kentucky
2788,2798217692,2798217692,mckcantrell,1,Kentucky
2789,573672887,573672887,WillTScottKY,1,Kentucky
2790,1666437788,1666437788,KYHarperAngel,1,Kentucky
2791,701972519943798785,701972519943798785,AngieHatton16,1,Kentucky
2792,16913094,16913094,JerryTMiller,1,Kentucky
2793,36384238,36384238,bryansunderland,1,Kentucky
2794,108323753,108323753,CollegeDemsOhio,1,Ohio
2795,2225736954,2225736954,DeanSchamore,1,Kentucky
2796,2349589808,2349589808,dannycarrollky,1,Kentucky
2797,33535360,33535360,philmoffett,1,Kentucky
2798,848501378,848501378,GeraldNeal33,1,Kentucky
2799,1225888412,1225888412,repsteveriggs,1,Kentucky
2800,3107499705,3107499705,SteveWestKY,1,Kentucky
2801,324739597,324739597,NVGOPSenate,1,Nevada
2802,2266400977,2266400977,ReginaHuff82,1,Kentucky
2803,24426903,24426903,RobbyMillsforKY,1,Kentucky
2804,1305613921,1305613921,KenUpchurch,1,Kentucky
2805,3004211717,3004211717,SpeakerRichards,1,Kentucky
2806,477300689,477300689,KYStanHumphries,1,Kentucky
2807,29298099,29298099,kyfloyd,1,Kentucky
2808,1085720434400784384,1085720434400784384,AMOwensby,1,Kentucky
2809,839449932,839449932,LouisvilleGOP,1,Kentucky
2810,2314359787,2314359787,JimDuPlessisKy,1,Kentucky
2811,4831209598,4831209598,sims4rep70,1,Kentucky
2812,4228140519,4228140519,KYAlGentry,1,Kentucky
2813,2161836632,2161836632,MilesForKY,1,Kentucky
2814,263357616,263357616,Araysimp,1,Kentucky
2815,4736108315,4736108315,PrattforKY,1,Kentucky
2816,2879622726,2879622726,KYretire,1,Kentucky
2817,776445836,776445836,KYFiscalCourts,1,Kentucky
2818,953974473849540608,953974473849540608,RTravisBrenda,1,Kentucky
2819,799154901540634624,799154901540634624,WalkerThomas_KY,1,Kentucky
2820,1606965816,1606965816,DonnaMayfieldKY,1,Kentucky
2821,242414778,242414778,nvassemblydems,1,Nevada
2822,3146493777,3146493777,KY_HRCCC,1,Kentucky
2823,4893913336,4893913336,drdanbentley,1,Kentucky
