,domain,id,id_str,party,screen_name,state
7091,1.0,1044582235,1044582235,INC,chandanjnu,Chhattisgarh
7092,1.0,767785710938054656,767785710938054656,BJP,GirishShishodi1,Uttar Pradesh
7093,1.0,818074987055681536,818074987055681536,BJP,Chaudha75335857,Uttar Pradesh
7094,1.0,1025668714367250432,1025668714367250432,BJP,LalitCh72431012,Uttar Pradesh
7095,1.0,1019365793471971328,1019365793471971328,BJP,ShailendraRCho3,Uttar Pradesh
7096,1.0,979731019359113216,979731019359113216,BJP,Pawanku92553987,Uttar Pradesh
7097,1.0,854602260952879104,854602260952879104,BJP,PHSBasoya,Uttar Pradesh
7098,1.0,1091423160988102656,1091423160988102656,BJP,saurabh66564077,Uttar Pradesh
7099,1.0,746412649177485312,746412649177485312,BJP,pramodksing1990,Uttar Pradesh
7100,1.0,1063949176126328832,1063949176126328832,BJP,Praveen86038301,Uttar Pradesh
7101,1.0,982880285971722242,982880285971722240,BJP,ajeet_pintu,Uttar Pradesh
7102,1.0,707495752134758401,707495752134758400,INC,WithCongressCG,Chhattisgarh
7103,1.0,889758194431610880,889758194431610880,BJP,rajdubey161616,Uttar Pradesh
7104,1.0,796982070551740418,796982070551740416,BJP,AmanSon38795991,Uttar Pradesh
7105,1.0,853139526906236928,853139526906236928,BJP,MadhuRishiSukla,Uttar Pradesh
7106,1.0,3010459362,3010459362,BJP,Luckeytrivedi,Uttar Pradesh
7107,1.0,1092761544914436096,1092761544914436096,BJP,NitishM89017598,Uttar Pradesh
7108,1.0,447275790,447275790,BJP,arunmishra52,Uttar Pradesh
7109,1.0,508887111,508887111,BJP,BharatDixitBJP,Uttar Pradesh
7110,1.0,846938304759173121,846938304759173120,BJP,PuneetRPSMTR,Uttar Pradesh
7111,1.0,1020640645680005120,1020640645680005120,BJP,Sachins35281319,Uttar Pradesh
7112,1.0,1071355212814671873,1071355212814671872,BJP,Virendr27373212,Uttar Pradesh
7113,1.0,845475108848324608,845475108848324608,To Be Added,LakshmanNaidu27,Andhra Pradesh
7114,1.0,962938050467700736,962938050467700736,INC,_vikasupadhyay,Chhattisgarh
7115,1.0,872139240854790145,872139240854790144,BJP,GuptModanwal,Uttar Pradesh
7116,1.0,959810930644172801,959810930644172800,BJP,JaiShanker77,Uttar Pradesh
7117,1.0,973926702500868096,973926702500868096,BJP,Ramnathnishad9,Uttar Pradesh
7118,1.0,821247173501140993,821247173501140992,BJP,ishivanshugupta,Uttar Pradesh
7119,1.0,719753333402177536,719753333402177536,BJP,dhimanmohit818,Uttar Pradesh
7120,1.0,821296423010467840,821296423010467840,BJP,Sanjay96467783,Uttar Pradesh
7121,1.0,1050074021566574594,1050074021566574592,BJP,DineshR38205197,Uttar Pradesh
7122,1.0,1075452994433368064,1075452994433368064,BJP,MukeshM07194000,Uttar Pradesh
7123,1.0,3170773549,3170773549,BJP,ramashishbjp,Uttar Pradesh
7124,1.0,1098484588005842944,1098484588005842944,BJP,Santosh29066146,Uttar Pradesh
7125,1.0,241553109,241553109,INC,Roshan_INC,Chhattisgarh
7126,1.0,4727603408,4727603408,BJP,YogendraPraja,Uttar Pradesh
7127,1.0,998831358037413888,998831358037413888,BJP,AJAYPRA80389690,Uttar Pradesh
7128,1.0,741428161594855424,741428161594855424,BJP,MUBARAKPUR346,Uttar Pradesh
7129,1.0,2767374726,2767374726,BJP,jainbaghouse4,Uttar Pradesh
7130,1.0,1215862496,1215862496,BJP,drkamleshjha,Uttar Pradesh
7131,1.0,2872715005,2872715005,BJP,singh_ramkripal,Uttar Pradesh
7132,1.0,1023126238561357825,1023126238561357824,BJP,omkargauta,Uttar Pradesh
7133,1.0,758219505684271104,758219505684271104,BJP,jha_ssuyash,Uttar Pradesh
7134,1.0,4831362408,4831362408,BJP,saumyamodified,Uttar Pradesh
7135,1.0,790840989543899136,790840989543899136,BJP,vks3393,Uttar Pradesh
7136,1.0,2731710989,2731710989,INC,Rajnikant_INC,Chhattisgarh
7137,1.0,1073977380081885184,1073977380081885184,BJP,Sandeep08602983,Uttar Pradesh
7138,1.0,946258179993755651,946258179993755648,BJP,BJYM4Kolhapur,Uttar Pradesh
7139,1.0,2608198494,2608198494,BJP,VijayBSinghBJP,Uttar Pradesh
7140,1.0,883979339586572288,883979339586572288,BJP,BJP72776238,Uttar Pradesh
7141,1.0,861652563363495936,861652563363495936,BJP,SureshK30182725,Uttar Pradesh
7142,1.0,800652052997107713,800652052997107712,BJP,Shrivijaypande,Uttar Pradesh
7143,1.0,881703981034213376,881703981034213376,BJP,KavitaRastogi5,Uttar Pradesh
7144,1.0,859295788261715968,859295788261715968,BJP,MadhavJalan2,Uttar Pradesh
7145,1.0,902863855126056960,902863855126056960,BJP,_PankajJNU,Uttar Pradesh
7146,1.0,1073400326,1073400326,BJP,ravimishraabvp,Uttar Pradesh
