,id,id_str,screen_name,confirmed_politician,state
5379,38745089,38745089,KurtZellersMN,1,Minnesota
5380,245511321,245511321,SenatorBenson,1,Minnesota
5381,27581219,27581219,JohnMarty,1,Minnesota
5382,1095089718264512514,1095089718264512512,AGEllison,1,Minnesota
5383,18361437,18361437,johnlesch,1,Minnesota
5384,18614806,18614806,TinaLiebling,1,Minnesota
5385,496299287,496299287,MelisaFranzen,1,Minnesota
5386,424412391,424412391,raymonddehn,1,Minnesota
5387,43479137,43479137,SteveDraz,1,Minnesota
5388,3195934863,3195934863,jbeckerfinn,1,Minnesota
5389,262794246,262794246,jdavnie,1,Minnesota
5390,44254802,44254802,Mark_Dayton,1,Minnesota
5391,109342032,109342032,SimoneLoves,1,Georgia
5392,225436777,225436777,debrahilstrom,1,Minnesota
5393,115676070,115676070,collinpeterson,1,Minnesota
5394,34745464,34745464,tarrylclark,1,Minnesota
5395,37052689,37052689,mikehowardmn,1,Minnesota
5396,52832455,52832455,MNSeninfo,1,Minnesota
5397,860696202,860696202,normcoleman,1,Minnesota
5398,153576594,153576594,CarlaNelsonMN,1,Minnesota
5399,500171757,500171757,SenRonLatz,1,Minnesota
5400,2917957926,2917957926,TorresRayMN,1,Minnesota
5401,510832740,510832740,danschoenmn,1,Minnesota
5402,48091759,48091759,davidhann,1,Minnesota
5403,107519694,107519694,MNSecofState,1,Minnesota
5404,1000109039517302785,1000109039517302784,JeffGreeneFL,1,Florida
5405,499106246,499106246,LaurieHalverson,1,Minnesota
5406,1375409034,1375409034,MikeForMN,1,Minnesota
5407,583417013,583417013,jimabeler,1,Minnesota
5408,37440474,37440474,jeremyrmiller,1,Minnesota
5409,533810454,533810454,Graves4Congress,1,Minnesota
5410,104236471,104236471,CollegeDemsIN,1,Indiana
5411,810327251652931584,810327251652931584,andreaforward8,1,Minnesota
5412,82240115,82240115,jasondisaacson,1,Minnesota
5413,231101835,231101835,RepKevinBoyle,1,Pennsylvania
5414,902612614634725377,902612614634725376,NewbergerJim,1,Minnesota
5415,4730053514,4730053514,MattKleinSD52,1,Minnesota
5416,25241040,25241040,davepinto,1,Minnesota
5417,216918484,216918484,LizOlson218,1,Minnesota
5418,4271386823,4271386823,heather_edelson,1,Minnesota
5419,1359503898,1359503898,SenGregClausen,1,Minnesota
5420,37727891,37727891,conniebernardy,1,Minnesota
5421,144407323,144407323,CLYouakim,1,Minnesota
5422,4764355040,4764355040,RepFueLee,1,Minnesota
5423,889677745,889677745,PTAnderson_MN,1,Minnesota
5424,147775338,147775338,SenatorCarlson,1,Minnesota
5425,903636248308436992,903636248308436992,kayiveyforgov,1,Alabama
5426,2696618138,2696618138,MNPoliceChiefs,1,Minnesota
5427,443326270,443326270,MarionONeill1,1,Minnesota
5428,126206025,126206025,Jonkoznick,1,Minnesota
5429,124177347,124177347,mndli,1,Minnesota
5430,732987464806072320,732987464806072320,SenateHertzberg,1,California
5431,2363743981,2363743981,RepChristensen,1,Minnesota
5432,155653061,155653061,Jamiemlong,1,Minnesota
5433,2331206989,2331206989,JimNashMN,1,Minnesota
5434,339684960,339684960,CarrieRuud,1,Minnesota
5435,815322645961052160,815322645961052160,Minndivisible,1,Minnesota
5436,1442240449,1442240449,JulieRosenMN,1,Minnesota
5437,26830588,26830588,DRQuam,1,Minnesota
5438,1442047472,1442047472,DSenjem,1,Minnesota
5439,1245254672,1245254672,TimMahoney67A,1,Minnesota
5440,942092306420822016,942092306420822016,GailKulp_MN,1,Minnesota
5441,346801789,346801789,RHamilton542,1,Minnesota
5442,327131716,327131716,marykiff,1,Minnesota
5443,2961290481,2961290481,DaveBakerMN,1,Minnesota
