,id,id_str,screen_name,confirmed_account_type,state,twitter_name,real_name,bioguide,office_holder,party,district,level,woman,birthday,last_updated
3775,382878093,382878093,sorencsorensen,1,Florida,Soren C Sorensen,,,,,,,,,2021-04-20
3776,150688795,150688795,repronklein,1,Florida,Ron Klein,Ron Klein,K000366,2,1,22,3,False,1957-07-10,2021-04-20
3777,78431501,78431501,bachusal06,1,Alabama,Spencer Bachus,Spencer Bachus,B000013,2,2,6,3,False,1947-12-28,2021-04-20
3778,70608023,70608023,ufcollegedems,1,Florida,UF College Democrats,,,,,,,,,2021-04-20
3779,1278934602,1278934602,pascodems,1,Florida,PascoDems,,,,,,,,,2021-04-20
3780,226418365,226418365,rickscottwatch,1,Florida,Rick Scott Watch,,,,,,,,,2021-04-20
3781,826981458946424833,826981458946424833,linseyfagantx,1,Texas,Linsey Fagan,,,,,,,,,2021-04-20
3782,282152145,282152145,collierdems,1,Florida,Collier Dems,,,,,,,,,2021-04-20
3783,41403889,41403889,vern2014,1,Florida,Vern Buchanan,,,,,,,,,2021-04-20
3784,582259915,582259915,scottherman4fl,1,Florida,Scott Herman,,,,,,,,,2021-04-20
3785,278853431,278853431,thefighting33,1,Minnesota,MN DFL SD33,,,,,,,,,2021-04-20
3786,2280818172,2280818172,clawsonoutsider,1,Florida,Curt Clawson,,,,,,,,,2021-04-20
3787,132909718,132909718,fsnyderaflcio,1,Pennsylvania,Frank Snyder,,,,,,,,,2021-04-20
3788,856727566123716609,856727566123716609,drewforoklahoma,1,Oklahoma,Drew Edmondson,,,,,,,,,2021-04-20
3789,59223077,59223077,davidriverafl,1,Florida,David Rivera,,,,,,,,,2021-04-20
3790,1001485839787053059,1001485839787053059,johndaileytlh,1,Florida,John Dailey,,,,,,,,,2021-04-20
3791,958394073521455105,958394073521455105,flmd_uscourts,1,Florida,U.S. District Court Middle District of Florida,,,,,,,,,2021-04-20
3792,2575911497,2575911497,sd50dfl,1,Florida,MN Senate District 50 DFL,,,,,,,,,2021-04-20
3793,2497061426,2497061426,wheelerflorida,1,Florida,Marihelen Wheeler,,,,,,,,,2021-04-20
3794,78199822,78199822,carolecrist,1,Florida,Carole Crist,,,,,,,,,2021-04-20
3795,931324561207021568,931324561207021568,ydsafiu,1,Florida,YDSA-FIU🌹,,,,,,,,,2021-04-20
3796,3878457203,3878457203,leadrightgr,1,Florida,LeadRight Grassroots,,,,,,,,,2021-04-20
3797,22787088,22787088,repronaldbrise,1,Florida,Rep. Ronald Brise,,,,,,,,,2021-04-20
3798,1687298582,1687298582,floridahsdems,1,Florida,Florida HS Democrats,,,,,,,,,2021-04-20
3799,725048145734983680,725048145734983680,jifunzaa,1,Florida,Demetrius Kujiamini Jifunza,,,,,,,,,2021-04-20
3800,865607054601449472,865607054601449472,senatevictoryfl,1,Florida,Florida Senate Victory,,,,,,,,,2021-04-20
3801,890069440930267136,890069440930267136,klassenformn,1,Minnesota,Heather Klassen,,,,,,,,,2021-04-20
3802,295189113,295189113,teamplakon,1,Florida,Team Plakon,,,,,,,,,2021-04-20
3803,268048620,268048620,voteforjohnpaul,1,Florida,John Paul Alvarez,,,,,,,,,2021-04-20
3804,560085535,560085535,ricecountydfl,1,Minnesota,Rice County DFL,,,,,,,,,2021-04-20
3805,577656653,577656653,schultz4senate,1,Minnesota,John Schultz,,,,,,,,,2021-04-20
3806,913431467363127296,913431467363127296,melforsenate14,1,Florida,Mel Martin,,,,,,,,,2021-04-20
3807,1324919545,1324919545,dfloutreach,1,Minnesota,DFL Outreach Officer,,,,,,,,,2021-04-20
3808,2982123538,2982123538,vedakanitz,1,Minnesota,Veda Kanitz,,,,,,,,,2021-04-20
3809,1613085462,1613085462,davehood25,1,Florida,Dave Hood,,,,,,,,,2021-04-20
3810,3326165032,3326165032,collegedemsofmn,1,Florida,College Dems of MN,,,,,,,,,2021-04-20
3811,54230739,54230739,okaloosadems,1,Florida,Okaloosa Democrats,,,,,,,,,2021-04-20
3812,2705123738,2705123738,votecoachp,1,Florida,Rene Plasencia,,,,,,,,,2021-04-20
3813,886710569176313856,886710569176313856,neflprogress,1,Florida,NE FL Progressives,,,,,,,,,2021-04-20
3814,96622049,96622049,jimfosterfl24,1,Florida,Jim Foster Congress,,,,,,,,,2021-04-20
3815,1090252548,1090252548,democratsofir,1,Florida,Dems of Indian River,,,,,,,,,2021-04-20
3816,308808504,308808504,thomasbruzzesi,1,Florida,Thomas Bruzzesi,,,,,,,,,2021-04-20
3817,971821708226301952,971821708226301952,berta_griffin18,1,Michigan,AlbertaGriffin2020,,,,,,,,,2021-04-20
3818,706871655193247745,706871655193247745,ivettepetkovich,1,Florida,Ivette for Florida,,,,,,,,,2021-04-20
3819,831672490107793408,831672490107793408,westdems,1,Florida,West Dems,,,,,,,,,2021-04-20
3820,410403665,410403665,baycountyfldems,1,Florida,Bay Cty FL Democrats,,,,,,,,,2021-04-20
3821,952648441,952648441,flsmartjustice,1,Florida,FL Smart Justice,,,,,,,,,2021-04-20
3822,884476034506248194,884476034506248194,janetmillsforme,1,Maine,Janet Mills,,,,,,,,,2021-04-20
3823,82366182,82366182,curtforcongress,1,Florida,Curt Price,,,,,,,,,2021-04-20
3824,162736599,162736599,cperniciaro,1,Florida,Charles Perniciaro,,,,,,,,,2021-04-20
3825,996512661536993281,996512661536993281,nassaufldems,1,Florida,Democrats of Nassau County Florida,,,,,,,,,2021-04-20
3826,2281289790,2281289790,electkreegel,1,Florida,Paige Kreegel,,,,,,,,,2021-04-20
3827,1300147920,1300147920,lakelandgop,1,Florida,LakelandGOP,,,,,,,,,2021-04-20
3828,978454773354524673,978454773354524673,northbirdfor2a,1,Minnesota,Michael Northbird for MN House,,,,,,,,,2021-04-20
3829,1141532596784025602,1141532596784025602,brownuscongress,1,Florida,,,,,,,,,,2021-04-20
3830,2744982299,2744982299,amyapope,1,Florida,Amy Pope Wells,,,,,,,,,2021-04-20
3831,1641238944,1641238944,cwcdfl,1,Minnesota,Crow Wing County DFL,,,,,,,,,2021-04-20
3832,981682786703675393,981682786703675393,hendrithsmith,1,Florida,,,,,,,,,,2021-04-20
3833,556203033,556203033,johnsonformn,1,Minnesota,Brian Johnson,,,,,,,,,2021-04-20
3834,336336593,336336593,kanabecdfl,1,Minnesota,KanabecDFL,,,,,,,,,2021-04-20
3835,132971112,132971112,ffcrchairman,1,Florida,John Morris,,,,,,,,,2021-04-20
3836,987644936706297856,987644936706297856,inthefl4th,1,Florida,Voter,,,,,,,,,2021-04-20
3837,4450951475,4450951475,markbircherfl13,1,Florida,Mark Bircher,,,,,,,,,2021-04-20
3838,594325449,594325449,chiplamarca,1,Florida,Chip LaMarca❗️,,,,,,,,,2021-04-20
3839,538476872,538476872,ganey4congress,1,Minnesota,Patrick Ganey,,,,,,,,,2021-04-20
3840,2734941530,2734941530,whiting4mn,1,Florida,Jay Whiting For MN,,,,,,,,,2021-04-20
3841,1354805630,1354805630,johndicksfl,1,Florida,John Dicks,,,,,,,,,2021-04-20
3842,875029068223315968,875029068223315968,sallyqyates,1,Georgia,Sally Yates,,,,,,,,,2021-04-20
3843,216065430,216065430,staceyabrams,1,Georgia,Stacey Abrams,,,,,,,,,2021-04-20
3844,15256841,15256841,kasimreed,1,Georgia,Kasim Reed,,,,,,,,,2021-04-20
3845,1060487274,1060487274,repdougcollins,1,Georgia,Doug Collins,Doug Collins,C001093,2,2,9,3,False,1966-08-16,2021-04-20
3846,217416964,217416964,governordeal,1,Georgia,Former Gov. Nathan Deal,,,,,,,,,2021-04-20
3847,305818748,305818748,keishabottoms,1,Georgia,Keisha Lance Bottoms,,,,,,,,,2021-04-20
3848,47437206,47437206,briankempga,1,Georgia,Brian Kemp,,,,,,,,,2021-04-20
3849,2285651706,2285651706,1980reagan,1,Illinois,David McSweeney,,,,,,,,,2021-04-20
3850,52140667,52140667,nick_ayers,1,Georgia,Nick Ayers,,,,,,,,,2021-04-20
3851,74482441,74482441,garepublicans,1,Georgia,GAGOP,,,,,,,,,2021-04-20
3852,93921487,93921487,senatorcarter,1,Georgia,Jason Carter,,,,,,,,,2021-04-20
3853,330625345,330625345,atlcouncil,1,Georgia,Atlanta City Council,,,,,,,,,2021-04-20
3854,31183882,31183882,gasenatepress,1,Georgia,Senate Press Office,,,,,,,,,2021-04-20
3855,45688610,45688610,nathandeal,1,Georgia,Nathan Deal,,,,,,,,,2021-04-20
3856,137407124,137407124,westmoreland_ga,1,Georgia,Lynn Westmoreland,,,,,,,,,2021-04-20
3857,1064659902071808000,1064659902071808000,govkemp,1,Georgia,Governor Brian P. Kemp,,,,,,,,,2021-04-20
3858,20808075,20808075,fultoninfo,1,Georgia,FultonCountyGeorgia,,,,,,,,,2021-04-20
3859,24190626,24190626,idahogop,1,Idaho,Idaho GOP,,,,,,,,,2021-04-20
3860,234400240,234400240,georgia_ag,1,Georgia,GA AG Chris Carr,,,,,,,,,2021-04-20
3861,1170886272,1170886272,adamlaxalt,1,Nevada,Adam Paul Laxalt,,,,,,,,,2021-04-20
3862,2176881492,2176881492,carter4governor,1,Georgia,Jason Carter,,,,,,,,,2021-04-20
3863,6185862,6185862,georgiayds,1,Georgia,Young Democrats of Georgia,,,,,,,,,2021-04-20
3864,230217212,230217212,repscottholcomb,1,Georgia,Scott Holcomb,,,,,,,,,2021-04-20
3865,36424664,36424664,nikemawilliams,1,Georgia,Nikema Williams,,,,,,,,,2021-04-20
3866,93742250,93742250,gahousedems,1,Georgia,Georgia House Democrats,,,,,,,,,2021-04-20
